Vernier Format 2
3.txt 5/5/2018 10:33:33
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%	

134.9	19.87	
135.0	19.87	
135.1	19.85	
135.2	19.86	
135.3	19.86	
135.4	19.86	
135.5	19.86	
135.6	19.86	
135.7	19.86	
135.8	19.86	
135.9	19.86	
136.0	19.87	
136.1	19.87	
136.2	19.87	
136.3	19.87	
136.4	19.86	
136.5	19.87	
136.6	19.87	
136.7	19.86	
136.8	19.86	
136.9	19.86	
137.0	19.87	
137.1	19.86	
137.2	19.87	
137.3	19.87	
137.4	19.86	
137.5	19.86	
137.6	19.87	
137.7	19.87	
137.8	19.87	
137.9	19.87	
138.0	19.87	
138.1	19.86	
138.2	19.87	
138.3	19.87	
138.4	19.87	
138.5	19.87	
138.6	19.87	
138.7	19.87	
138.8	19.87	
138.9	19.86	
139.0	19.87	
139.1	19.87	
139.2	19.87	
139.3	19.87	
139.4	19.87	
139.5	19.87	
139.6	19.87	
139.7	19.86	
139.8	19.87	
139.9	19.87	
140.0	19.87	
140.1	19.87	
140.2	19.87	
140.3	19.87	
140.4	19.87	
140.5	19.87	
140.6	19.87	
140.7	19.86	
140.8	19.87	
140.9	19.87	
141.0	19.86	
141.1	19.86	
141.2	19.86	
141.3	19.86	
141.4	19.85	
141.5	19.86	
141.6	19.86	
141.7	19.86	
141.8	19.86	
141.9	19.86	
142.0	19.86	
142.1	19.86	
142.2	19.85	
142.3	19.86	
142.4	19.86	
142.5	19.85	
142.6	19.86	
142.7	19.85	
142.8	19.86	
142.9	19.85	
143.0	19.84	
143.1	19.85	
143.2	19.85	
143.3	19.85	
143.4	19.86	
143.5	19.84	
143.6	19.86	
143.7	19.86	
143.8	19.85	
143.9	19.84	
144.0	19.84	
144.1	19.84	
144.2	19.85	
144.3	19.84	
144.4	19.84	
144.5	19.84	
144.6	19.84	
144.7	19.84	
144.8	19.84	
144.9	19.84	
145.0	19.85	
145.1	19.84	
145.2	19.84	
145.3	19.84	
145.4	19.85	
145.5	19.85	
145.6	19.84	
145.7	19.86	
145.8	19.84	
145.9	19.85	
146.0	19.84	
146.1	19.84	
146.2	19.85	
146.3	19.84	
146.4	19.85	
146.5	19.84	
146.6	19.85	
146.7	19.85	
146.8	19.85	
146.9	19.84	
147.0	19.84	
147.1	19.85	
147.2	19.85	
147.3	19.86	
147.4	19.84	
147.5	19.84	
147.6	19.84	
147.7	19.84	
147.8	19.84	
147.9	19.85	
148.0	19.85	
148.1	19.84	
148.2	19.84	
148.3	19.85	
148.4	19.85	
148.5	19.85	
148.6	19.84	
148.7	19.85	
148.8	19.84	
148.9	19.86	
149.0	19.86	
149.1	19.84	
149.2	19.85	
149.3	19.85	
149.4	19.86	
149.5	19.85	
149.6	19.85	
149.7	19.85	
149.8	19.85	
149.9	19.85	
150.0	19.85	
150.1	19.86	
150.2	19.86	
150.3	19.86	
150.4	19.86	
150.5	19.87	
150.6	19.86	
150.7	19.86	
150.8	19.85	
150.9	19.86	
151.0	19.86	
151.1	19.86	
151.2	19.85	
151.3	19.87	
151.4	19.86	
151.5	19.86	
151.6	19.86	
151.7	19.86	
151.8	19.86	
151.9	19.86	
152.0	19.86	
152.1	19.86	
152.2	19.86	
