Vernier Format 2
1.txt 5/5/2018 10:31:59
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%
0.0 19.89
120.9	19.83
121.02	19.82
121.08	19.83
121.2	19.82
121.32	19.82
121.38	19.82
121.5	19.82
121.62	19.82
121.68	19.82
121.8	19.82
121.92	19.82
121.98	19.82
122.1	19.82
122.22	19.82
122.28	19.82
122.4	19.81
122.52	19.82
122.58	19.81
122.7	19.81
122.82	19.82
122.88	19.82
123.0	19.81
123.12	19.82
123.18	19.82
123.3	19.81
123.42	19.82
123.48	19.81
123.6	19.82
123.72	19.82
123.78	19.81
123.9	19.82
124.02	19.81
124.08	19.81
124.2	19.82
124.32	19.81
124.38	19.81
124.5	19.82
124.62	19.82
124.68	19.82
124.8	19.82
124.92	19.81
124.98	19.82
125.1	19.82
125.22	19.82
125.28	19.81
125.4	19.81
125.52	19.81
125.58	19.82
125.7	19.81
125.82	19.80
125.88	19.80
126.0	19.80
126.12	19.80
126.18	19.81
126.3	19.81
126.42	19.80
126.48	19.81
126.6	19.81
126.72	19.80
126.78	19.82
126.9	19.80
127.02	19.80
127.08	19.80
127.2	19.80
127.32	19.80
127.38	19.80
127.5	19.81
127.62	19.80
127.68	19.81
127.8	19.80
127.92	19.81
127.98	19.81
128.1	19.80
128.22	19.81
128.28	19.82
128.4	19.81
128.52	19.81
128.58	19.81
128.7	19.81
128.82	19.81
128.88	19.81
129.0	19.82
129.12	19.81
129.18	19.82
129.3	19.82
129.42	19.82
129.48	19.82
129.6	19.82
129.72	19.83
129.78	19.81
129.9	19.82
130.02	19.82
130.08	19.82
130.2	19.81
130.32	19.82
130.38	19.81
130.5	19.81
130.62	19.81
130.68	19.82
130.8	19.81
130.92	19.81
130.98	19.80
131.1	19.80
131.22	19.80
131.28	19.80
131.4	19.81
131.52	19.81
131.58	19.80
131.7	19.80
131.82	19.80
131.88	19.80
132.0	19.80
132.12	19.80
132.18	19.80
132.3	19.80
132.42	19.80
132.48	19.80
132.6	19.80
132.72	19.80
132.78	19.80
132.9	19.80
133.02	19.79
133.08	19.79
133.2	19.79
133.32	19.79
133.38	19.79
133.5	19.79
133.62	19.79
133.68	19.79
133.8	19.79
133.92	19.79
133.98	19.79
134.1	19.79
134.22	19.79
134.28	19.79
134.4	19.79
134.52	19.79
134.58	19.79
134.7	19.79
134.82	19.79
134.88	19.79
135.0	19.79
135.12	19.79
135.18	19.79
135.3	19.79
135.42	19.79
135.48	19.79
135.6	19.79
135.72	19.79
135.78	19.79
135.9	19.78
136.02	19.80
136.08	19.79
136.2	19.79
136.32	19.79
136.38	19.79
136.5	19.79
136.62	19.79
136.68	19.79
136.8	19.79
136.92	19.79
136.98	19.80
137.1	19.80
137.22	19.80
137.28	19.79
137.4	19.79
137.52	19.79
137.58	19.78
137.7	19.79
137.82	19.79
137.88	19.79
138.0	19.79
138.12	19.79
138.18	19.79
138.3	19.79
138.42	19.79
138.48	19.79
138.6	19.79
138.72	19.78
138.78	19.79
138.9	19.79
139.02	19.78
139.08	19.79
139.2	19.79
139.32	19.79
139.38	19.78
139.5	19.78
139.62	19.78
139.68	19.79
139.8	19.79
139.92	19.79
139.98	19.79
140.1	19.79
140.22	19.79
140.28	19.78
140.4	19.78
140.52	19.78
140.58	19.78
140.7	19.79
140.82	19.78
140.88	19.78
141.0	19.78
141.12	19.78
141.18	19.78
141.3	19.79
141.42	19.78
141.48	19.78
141.6	19.78
141.72	19.78
141.78	19.78
141.9	19.78
142.02	19.78
142.08	19.78
142.2	19.78
142.32	19.78
142.38	19.78
142.5	19.78
142.62	19.78
142.68	19.78
142.8	19.78
142.92	19.78
142.98	19.77
143.1	19.78
143.22	19.78
143.28	19.78
143.4	19.77
143.52	19.78
143.58	19.77
143.7	19.77
143.82	19.77
143.88	19.77
144.0	19.76
144.12	19.76
144.18	19.76
144.3	19.77
144.42	19.76
144.48	19.76
144.6	19.77
144.72	19.77
144.78	19.77
144.9	19.76
145.02	19.76
145.08	19.78
145.2	19.77
145.32	19.77
145.38	19.77
145.5	19.76
145.62	19.78
145.68	19.77
145.8	19.76
